name	value
ok	SQLITE_OK
error	SQLITE_ERROR
internal_error	SQLITE_INTERNAL
permission_denied	SQLITE_PERM
aborted	SQLITE_ABORT
database_locked	SQLITE_BUSY
table_locked	SQLITE_LOCKED
not_enough_memory	SQLITE_NOMEM
read_only_database	SQLITE_READONLY
interrupted	SQLITE_INTERRUPT
io_error	SQLITE_IOERR
database_corrupt	SQLITE_CORRUPT
opcode_not_found	SQLITE_NOTFOUND
no_space_on_device	SQLITE_FULL
cant_open_file	SQLITE_CANTOPEN
lock_protocol_error	SQLITE_PROTOCOL
database_empty	SQLITE_EMPTY
schema_changed	SQLITE_SCHEMA
field_length_error	SQLITE_TOOBIG
constraint_error	SQLITE_CONSTRAINT
data_type_mismatch	SQLITE_MISMATCH
api_misuse	SQLITE_MISUSE
no_large_file_support	SQLITE_NOLFS
authorization_denied	SQLITE_AUTH
format_error	SQLITE_FORMAT
out_of_range	SQLITE_RANGE
not_a_database	SQLITE_NOTADB
notice	SQLITE_NOTICE
warning	SQLITE_WARNING
row_available	SQLITE_ROW
done	SQLITE_DONE
